trace_nb;log2(key_rank);correct_bytes
10;125.4189648;0
15;125.9525051;0
20;126.3502714;0
25;125.8100079;0
30;123.5617665;0
35;122.5686751;0
40;120.7041506;0
45;120.2119474;0
50;122.0169071;1
55;121.8817971;0
60;121.8655022;0
65;122.8175868;0
70;121.1510339;0
75;122.0932406;0
80;120.9647635;1
85;121.2058319;1
90;119.2437272;1
95;119.3659552;1
100;119.4292538;1
105;120.1612551;1
110;120.2452526;1
115;119.4785982;1
120;119.9636921;1
125;120.2647892;1
130;119.6283691;1
135;118.9072766;1
140;119.195889;1
145;118.0675066;1
150;117.6549343;1
155;117.1620426;1
160;116.3682453;1
165;116.2291156;1
170;115.5617782;1
175;116.556434;1
180;115.4013737;1
185;114.1437572;1
190;113.8754607;1
195;113.3963012;1
200;112.5262194;2
205;111.7701072;2
210;110.7457834;2
215;108.9061768;2
220;108.716379;2
225;109.5062661;2
230;109.4695195;2
235;108.4474446;2
240;108.2686648;2
245;109.0342634;2
250;109.7820848;2
255;108.716834;2
260;107.1131855;2
265;106.3250918;2
270;105.3923345;2
275;105.2232983;2
280;105.5789597;2
285;104.8855373;2
290;104.658343;2
295;104.0257491;2
300;103.4964163;2
305;104.4356438;1
310;104.4248056;1
315;103.2263346;1
320;104.4168908;1
325;104.1441109;1
330;104.2495519;1
335;102.7884129;1
340;101.7357169;1
345;101.0461239;1
350;100.0079331;1
355;99.76403897;1
360;99.50516769;1
365;98.593966;1
370;98.2595276;2
375;98.21960349;1
380;99.56099395;1
385;98.58095165;1
390;98.32897663;1
395;96.7151275;1
400;96.07833883;1
405;96.62810319;2
410;97.20014868;1
415;96.97067343;2
420;97.42438161;2
425;97.7120838;2
430;97.51563641;0
435;96.84172022;1
440;95.99712908;1
445;95.40666761;2
450;94.68403384;2
455;94.49994047;2
460;93.64908691;1
465;94.44653874;1
470;94.7365661;1
475;94.69163279;1
480;94.07823939;2
485;94.46434523;2
490;94.79866508;2
495;93.77795499;1
500;93.95001383;1
525;92.72384238;1
550;94.27470884;1
575;92.82200918;1
600;92.04605066;1
625;90.90079991;0
650;89.17729128;1
675;88.13720206;0
700;88.10012139;1
725;86.88591032;1
750;87.77577179;1
775;85.71682433;1
800;84.29796249;1
825;83.21908499;1
850;82.27019782;0
875;80.79814395;0
900;81.59273177;1
925;82.31734427;0
950;79.42067516;0
975;80.75604518;0
1000;80.78860741;0
1050;83.0353389;0
1100;81.9769961;1
1150;80.21964012;1
1200;76.89455991;1
