trace_nb;log2(key_rank);correct_bytes
10;125.5507647;0
60;116.4060871;1
110;110.3267509;2
160;106.5022149;0
210;104.309425;0
260;98.48633705;0
310;101.3015343;0
360;101.8702182;0
410;102.1976945;0
460;95.60973329;0
500;93.62724674;0
600;96.2115877;1
700;86.83419669;1
800;83.76898638;1
900;71.19281331;0
1000;67.08109714;0
1250;62.08351072;1
1500;58.7690064;0
1750;51.65788301;3
2000;44.29489947;6
2500;41.20207302;4
3000;35.4942527;6
3500;36.43576143;5
4000;32.18833782;4
5000;35.60845007;2
6000;36.92002362;1
7000;33.57298114;6
8000;34.54714626;3
9000;34.68219381;2
10000;33.80096085;3
11000;33.21369581;3
12000;32.448196;3
13000;33.28238806;5
14000;30.51897347;6
15000;29.16819614;6
