trace_nb;log2(key_rank);correct_bytes
10;126.458502;0
60;122.615598;1
110;117.3333653;0
160;113.2378054;0
210;108.7559035;0
260;102.9439596;0
310;100.0062409;2
360;102.6403238;1
410;101.0565548;2
460;96.49551637;1
500;94.27396812;1
600;97.00763254;1
700;88.26560024;1
800;88.16109251;1
900;80.08806605;1
1000;77.23728838;1
1250;72.07808085;1
1500;66.89638594;2
1750;59.43171115;4
2000;51.94616854;4
2500;45.93763617;4
3000;38.34039082;2
3500;33.84396019;4
4000;34.20567096;6
5000;34.2669854;6
6000;36.04953635;3
7000;36.0133207;4
8000;34.80415118;5
9000;35.96577787;4
10000;37.16050363;4
11000;35.91985041;4
12000;33.42228878;5
13000;33.10532776;8
14000;31.41471504;7
15000;30.77439499;8
