trace_nb;log2(key_rank);correct_bytes
10;123.6152782;0
15;125.3119528;0
20;126.0957019;0
25;126.0112199;0
30;124.9144497;0
35;122.9818613;1
40;119.8589905;0
45;118.7772804;0
50;122.9620173;0
55;122.2188486;0
60;122.1247981;0
65;122.727627;0
70;121.6968385;0
75;122.0010144;0
80;120.5330621;0
85;120.6235925;0
90;118.1900125;0
95;118.241657;0
100;118.2699812;0
105;117.9834682;0
110;118.9412449;0
115;117.6502321;0
120;117.483518;0
125;117.6056737;0
130;115.5898096;0
135;113.9979484;0
140;113.900016;0
145;113.1927511;0
150;113.8861608;0
155;112.2035223;1
160;110.6629648;0
165;110.5145684;1
170;108.8248719;1
175;109.7037254;1
180;107.5003738;0
185;105.6145464;0
190;105.461163;0
195;104.4305591;1
200;102.7769143;0
205;103.0502552;1
210;102.1122069;0
215;100.9165015;0
220;101.3328978;0
225;101.7969806;0
230;102.4077363;1
235;102.3562781;0
240;102.2795808;1
245;104.1285907;1
250;103.7407902;0
255;102.2230501;1
260;100.6053181;2
265;98.52939429;1
270;97.0664288;1
275;94.97808516;1
280;94.4416226;1
285;91.79634986;1
290;91.65031618;1
295;91.46498317;1
300;91.45216548;1
305;91.21045963;1
310;92.3232983;1
315;91.27138265;1
320;90.59350078;1
325;90.27763313;1
330;89.95233078;1
335;88.24558221;1
340;86.3460542;1
345;83.79568764;2
350;82.4086266;1
355;81.82622099;2
360;82.26415055;1
365;80.74622082;2
370;81.50548034;2
375;82.89316646;2
380;84.00435965;2
385;82.58672556;2
390;84.1687621;2
395;82.80178286;2
400;81.6131517;2
405;81.69792102;2
410;82.60063284;2
415;82.67002709;2
420;82.90622426;2
425;84.39170375;1
430;83.32615324;1
435;81.68443926;1
440;81.33005153;1
445;82.04466366;1
450;81.66711442;1
455;80.06592037;1
460;80.19932368;1
465;81.18813009;1
470;80.83834779;1
475;81.71421439;1
480;81.1938281;1
485;80.95311453;1
490;81.05111957;1
495;79.35560358;1
500;79.56062506;2
525;78.96115881;1
550;78.50134272;1
575;76.54279716;2
600;77.49179082;3
625;77.90574953;1
650;77.21689655;2
675;77.80030176;1
700;77.7219045;1
725;77.35575422;1
750;76.8710443;1
775;76.91330322;1
800;74.26398053;1
825;72.04675338;1
850;71.37437482;2
875;70.1120421;1
