trace_nb;log2(key_rank);correct_bytes
10;121.5453806;0
15;124.2725257;1
20;124.6252314;0
25;125.4215123;0
30;124.5170303;0
35;122.7375968;0
40;119.280614;1
45;118.4959219;1
50;122.1293989;0
55;120.5565466;0
60;119.8280273;0
65;120.1753825;0
70;118.7625814;0
75;118.6371897;0
80;117.6431171;0
85;118.1368509;0
90;115.4379984;0
95;114.5769905;1
100;114.3852193;1
105;113.6924144;1
110;114.9078273;0
115;113.9977699;0
120;113.2569813;1
125;113.7827664;0
130;111.8515923;1
135;110.6829476;1
140;110.2554512;1
145;108.9613295;1
150;109.5762983;0
155;108.9249333;0
160;108.2818211;1
165;107.5639708;1
170;106.0237272;0
175;105.837399;0
180;105.5691476;0
185;103.602561;0
190;103.1435928;0
195;102.8808679;0
200;101.8552898;0
205;102.3605168;0
210;102.2773156;0
215;101.3831996;0
220;101.1079621;0
225;100.6713967;0
230;101.3142997;0
235;100.202555;1
240;98.58119686;1
245;99.48382747;1
250;97.98656124;1
255;96.85479435;1
260;95.23584127;1
265;94.5330221;1
270;93.08586672;1
275;92.05281129;1
280;91.44077055;1
285;88.93947604;1
290;89.23153846;1
295;89.28268743;1
300;88.54209369;2
305;88.79549403;2
310;90.15590873;2
315;90.21827028;2
320;90.77342562;2
325;89.66150739;2
330;89.42841898;2
335;86.64870588;2
340;84.69002479;2
345;81.77181671;2
350;80.77209499;2
355;80.28335567;2
360;80.93905341;2
365;79.63358371;2
370;80.00041846;2
375;80.01085184;2
380;81.66238137;2
385;81.37906902;2
390;80.69844279;2
395;80.3684695;2
400;79.65716566;2
405;78.83467944;2
410;79.82744227;2
415;79.69969373;2
420;79.04521462;2
425;79.34087169;2
430;79.08641161;2
435;77.24304668;2
440;75.52435784;4
445;74.59957545;4
450;74.71856402;4
455;73.665295;4
460;74.62670616;4
465;76.34951357;2
470;75.9639356;2
475;76.14002749;2
480;74.92329778;2
485;74.46172524;2
490;74.60981346;2
495;72.13798505;3
500;72.75593196;2
525;71.69969404;2
550;69.10291685;2
575;66.88162134;2
