trace_nb;log2(key_rank);correct_bytes
10;122.3595818;0
60;117.386001;0
110;113.4773254;0
160;108.2206711;0
210;108.0059769;0
260;103.4662985;0
310;106.0191231;1
360;110.0936497;1
410;109.4402888;1
460;108.308535;1
500;106.3182543;2
600;105.964339;0
700;97.80727378;1
800;95.09262616;1
900;86.87034329;1
1000;84.75305049;0
1250;78.15337388;1
1500;70.02041042;3
1750;62.87721389;3
2000;60.83917565;2
2500;55.15983858;3
3000;53.03456463;2
3500;46.10955769;4
4000;44.95508445;4
5000;44.80832542;5
6000;41.74025677;7
7000;41.5012587;4
8000;41.73261166;3
9000;41.69728517;4
10000;42.28935615;3
11000;41.95922702;3
12000;41.61698661;3
13000;41.6181836;2
14000;39.39108502;3
15000;37.05585214;3
