trace_nb;log2(key_rank);correct_bytes;pge_median
10;113.7108118;0;58
60;102.5140178;0;35
110;87.97996712;0;16
160;87.88966834;1;15
210;87.08034789;1;16
260;84.4340824;1;16
310;85.29007408;0;16
360;84.55204477;1;13
410;81.67521416;1;10
460;80.98821748;2;9
510;79.53124026;1;9
560;80.80671228;1;12
610;77.65574621;1;11
660;77.0212794;2;11
710;76.70570929;2;10
760;75.47115028;2;10
810;72.64223015;1;8
860;72.89302362;1;9
910;74.22087528;1;9
960;76.0738493;1;10
1010;73.84985577;1;9
1060;72.02911738;1;9
1110;71.27493735;1;8
1160;69.80789051;1;8
1210;70.2483161;1;8
1260;70.52823136;0;7
1310;70.03710802;0;8
1360;69.83737847;0;7
1410;69.30497991;0;7
1460;68.11365423;0;6
1510;68.26508921;0;6
1560;68.64551077;0;7
1610;68.86439271;0;6
1660;68.93192325;0;6
1710;69.99938031;0;7
1760;70.37570721;0;7
1810;70.09450494;0;7
1860;69.54961182;0;6
1910;69.84258935;0;6
1960;69.55688652;0;6
2010;69.47648305;0;5
2060;68.75429252;0;6
2110;68.71855272;0;6
2160;66.77833039;0;5
2210;66.82298956;1;6
2260;66.60482516;1;4
2310;66.95365352;1;4
2360;67.21554948;0;3
2410;68.01219144;1;4
2460;68.20102;0;4
2510;67.97609625;0;4
2560;67.34570705;1;5
2610;67.70973587;2;6
2660;68.08496679;1;7
2710;67.29327041;2;8
2760;67.35740453;2;8
2810;66.474546;1;8
2860;66.34830754;1;7
2910;67.06340863;1;6
2960;67.59296954;1;6
3010;67.55995586;2;6
3060;67.44830545;1;5
3110;67.92951924;1;6
3160;67.65041988;1;6
3210;67.60011123;1;5
3260;67.5530529;1;6
3310;67.62901483;1;7
3360;67.28373762;1;7
3410;67.83413309;1;6
3460;67.81723935;2;7
3510;67.56290499;2;6
3560;67.47012399;1;6
3610;67.60302828;1;7
3660;68.12102724;0;7
3710;67.89213539;1;7
3760;68.42410525;0;7
3810;67.93292973;0;7
3860;67.55813095;0;6
3910;67.34170668;0;6
3960;67.49992687;0;6
4010;67.8183397;0;7
4060;67.10234113;0;6
4110;66.97083859;1;6
4160;67.0549119;0;7
4210;67.36976862;0;8
4260;68.25102085;1;7
4310;68.20053681;1;7
4360;68.93929664;1;7
4410;69.34793519;1;7
4460;69.24284203;1;7
4510;69.35511369;0;7
4560;69.91192572;0;7
4610;69.8803763;0;7
4660;70.02126023;0;7
4710;70.47466024;0;7
4760;70.41030534;0;7
4810;70.335566;0;8
4860;70.65964639;0;8
4910;69.58231149;0;8
4960;69.21098275;0;7
5010;68.72460084;0;7
5060;68.5131278;1;8
5110;68.90274476;0;9
5160;68.17394455;1;8
