trace_nb;log2(key_rank);correct_bytes;pge_median
10;127.9834857;0;195
15;127.7402731;0;150
20;127.6918226;0;151
25;127.6911832;0;145
30;127.5120636;0;136
35;127.6282217;0;137
40;127.1807114;0;141
45;127.0275883;0;127
50;126.990327;0;124
55;126.6163409;0;95
60;126.5802132;0;101
65;126.1792587;0;91
70;126.0661599;0;86
75;126.3985593;0;102
80;126.1823005;0;105
85;125.6764204;0;84
90;124.7867345;0;91
95;123.7474676;0;76
100;124.3578426;0;89
105;124.9664582;1;108
110;124.6395811;0;101
115;124.9207445;0;99
120;124.3101155;1;103
125;123.4200589;1;120
130;122.5960512;1;115
135;122.2771505;2;106
140;123.3315943;2;95
145;122.180609;2;108
150;121.9876466;2;89
155;121.1910526;2;79
160;121.3949911;2;75
165;121.4364074;2;76
170;120.6372623;1;77
175;120.3410283;1;80
180;118.9102005;2;70
185;117.5175418;2;59
190;118.3521478;2;63
195;118.9302381;2;74
200;118.186048;2;79
205;116.0216358;1;67
210;115.6534583;1;62
215;116.4120422;2;64
220;115.6870248;2;59
225;114.7214724;2;56
230;114.4195968;3;49
235;114.7957147;2;42
240;114.6485443;1;40
245;114.1002692;2;48
250;115.0409938;1;43
255;114.9182112;1;38
260;115.7692347;1;37
265;116.6185824;0;54
270;115.9882976;0;47
275;116.0835276;0;53
280;115.1117461;1;45
285;113.6104853;0;40
290;112.427495;1;39
295;112.2000555;0;40
300;112.9524291;1;46
305;112.9609976;1;49
310;114.1399174;1;55
315;113.5563465;1;55
320;113.7369032;1;55
325;115.4835566;1;55
330;115.3440444;1;58
335;115.6044287;1;54
340;116.2988489;1;55
345;115.6817788;1;54
350;116.246172;1;58
355;116.9562239;1;59
360;117.0237543;1;60
365;117.3078728;1;58
370;117.6748414;1;58
375;118.0436728;1;53
380;118.5143446;1;64
385;118.6250513;1;66
390;117.8420405;1;56
395;117.3142448;1;50
400;116.6711496;2;53
405;116.005229;0;53
410;115.8637223;1;55
415;115.5926899;1;59
420;115.3194281;0;57
425;115.1905493;0;57
430;115.009416;0;55
435;114.2024288;0;52
440;114.0366257;0;48
445;113.8236718;0;47
450;114.4474407;0;49
455;113.6907989;0;48
460;113.3972985;0;51
465;113.6797965;0;51
470;113.4434564;0;52
475;113.6414003;1;53
480;114.1930144;2;55
485;113.8598165;1;54
490;114.2782794;0;58
495;114.3596374;0;60
500;113.7848933;1;59
505;113.6961456;2;57
510;113.7491326;2;52
515;113.6801461;2;56
520;113.7507286;1;55
525;113.4713633;1;46
530;112.5107007;1;46
535;112.4141052;1;45
540;112.8303845;1;46
545;112.9392137;1;53
550;112.4345589;1;53
555;112.1313035;1;50
560;111.8773965;1;48
565;111.3880853;1;53
570;111.5346101;1;56
575;111.5429842;1;58
580;110.9791428;1;51
585;110.4701025;1;53
590;109.9298041;1;58
595;109.0472029;1;54
600;109.6919217;1;53
605;108.9982097;1;50
610;110.1967738;1;51
615;110.6523291;1;56
620;111.4407644;1;55
625;111.8459422;1;57
630;111.6669426;1;57
635;111.2809798;1;55
640;111.4375651;1;52
645;110.8945535;1;48
650;110.8817602;0;43
655;111.5671007;0;48
660;112.2096507;0;50
665;111.8818145;0;45
670;111.1802403;0;44
675;110.7303568;0;43
680;110.9621428;1;47
685;111.1079845;0;47
690;110.5898785;0;46
695;110.6557726;0;45
700;110.125717;1;42
705;109.7210962;0;37
710;110.0168258;0;39
715;110.5494666;0;38
720;110.5445541;0;39
725;110.7419;0;39
730;110.8748565;0;34
735;110.6351506;1;36
740;111.1143977;1;38
745;110.9320373;1;38
750;111.5026232;1;37
755;111.1265859;1;35
760;110.8068166;0;41
765;110.647385;1;41
770;109.7681914;1;35
775;110.3308358;1;41
780;109.9790595;1;42
785;109.6236641;1;43
790;109.6399071;1;41
795;109.4201802;1;47
800;108.9907538;1;46
805;108.5213346;1;39
810;108.9329384;1;43
815;109.0070906;1;45
820;108.6714413;1;46
825;109.6604351;1;55
830;109.521881;1;51
835;108.462711;1;47
840;108.6330765;1;47
845;108.4554956;1;41
850;107.8262588;1;40
855;109.387037;1;41
860;109.6821522;1;45
865;109.6792792;1;47
870;109.6141976;1;47
