trace_nb;log2(key_rank);correct_bytes;pge_median
10;127.9252751;0;178
15;127.9149425;0;185
20;127.8633212;0;161
25;127.8083075;0;144
30;127.6580649;0;138
35;127.6496094;0;166
40;127.4481773;0;156
45;127.3104043;0;163
50;127.0271268;0;157
55;126.8330279;0;122
60;126.6788228;0;123
65;126.4985187;0;109
70;126.0747687;0;107
75;126.2078681;0;123
80;125.6264412;0;115
85;124.8532608;1;116
90;123.2701617;1;106
95;122.3028183;1;109
100;122.5513942;1;106
105;123.1151456;1;102
110;122.3374245;1;97
115;121.4341674;1;103
120;120.4896291;1;88
125;119.6842843;1;92
130;119.1368603;1;80
135;118.896856;1;86
140;119.6241299;1;87
145;117.2944722;1;87
150;117.0040883;1;78
155;117.0965473;1;76
160;118.2834908;1;64
165;118.3062749;1;76
170;117.2577008;0;69
175;116.1524622;0;57
180;115.072003;1;51
185;114.4577099;1;41
190;114.7694615;1;45
195;115.6053261;1;42
200;115.9029147;1;48
205;115.0116333;0;43
210;114.6747978;0;36
215;114.4207936;1;44
220;113.5371627;1;38
225;112.2922741;1;30
230;112.196262;1;27
235;113.4419064;1;25
240;113.5088981;1;32
245;113.4233183;1;28
250;115.1119548;1;35
255;114.4575189;1;35
260;115.008092;1;32
265;116.8913638;0;49
270;115.8030733;0;55
275;116.1013453;0;49
280;116.3215106;0;48
285;115.7981412;0;45
290;115.2599582;0;47
295;116.0145541;0;45
300;116.9388875;0;51
305;117.6202718;0;60
310;117.9743541;1;53
315;117.8211275;1;57
320;118.0401221;1;60
325;119.0889724;1;60
330;119.3559487;1;64
335;119.0530459;1;59
340;119.2937129;1;56
345;118.7686484;1;60
350;119.2103007;1;69
355;119.4074329;1;69
360;119.1887101;1;70
365;119.2974099;1;80
370;119.7266392;1;78
375;120.1559636;1;88
380;120.2846506;1;91
385;120.447951;1;92
390;119.7589092;1;75
395;118.8076173;0;77
400;118.482902;0;69
405;118.0289539;0;72
410;117.500535;0;68
415;117.3775543;0;68
420;116.8407668;0;69
425;116.55615;0;63
430;116.5457587;0;57
435;115.7553666;0;59
440;116.0772361;0;59
445;116.0037353;0;63
450;116.5240755;0;65
455;116.3605573;0;63
460;116.2038637;0;59
465;116.2903119;0;60
470;116.5899733;1;62
475;116.6373555;1;64
480;116.7103639;0;66
485;116.5010805;0;62
490;117.0827248;0;62
495;117.3343839;0;66
500;116.9953495;0;63
505;116.7112525;0;63
510;116.9270272;0;61
515;116.9717157;0;65
520;116.9747248;0;59
525;117.0386661;0;57
530;116.2867019;0;54
535;115.5363691;0;51
540;116.2124375;0;46
545;115.902824;0;51
550;115.6748629;0;55
555;115.5622637;0;56
560;115.3762398;0;51
565;114.8375742;0;47
570;114.9126766;0;51
575;114.916069;1;58
580;114.2177528;1;51
585;113.8569308;1;46
590;113.5203371;1;43
595;113.0099198;1;44
600;113.8056953;1;47
605;113.2331088;1;49
610;113.576189;1;48
615;113.8962557;1;48
620;113.9956445;1;50
625;114.441184;1;51
630;114.3448748;1;54
635;114.1055295;1;55
640;114.2827459;1;51
645;113.9037002;1;44
650;113.1983915;1;40
655;114.1166497;1;40
660;115.2898326;1;53
665;115.47667;1;51
670;115.4401098;1;54
675;115.0225222;1;54
680;115.3440946;1;57
685;115.3426216;1;57
690;115.1841416;1;49
695;115.228891;1;50
700;115.1787244;1;54
705;114.6869327;1;51
710;114.7191266;1;49
715;115.0404472;1;57
720;115.1720887;1;54
725;115.2653481;1;56
730;115.5408601;1;62
735;115.260436;1;52
740;115.6613836;1;50
745;115.4751769;1;50
750;115.902174;1;52
755;115.9767379;1;55
760;115.9965265;1;59
765;115.4196205;1;58
770;115.1242447;1;55
775;115.4801142;1;60
780;115.1232737;1;59
785;114.538787;1;50
790;114.2289679;1;48
795;114.4765423;1;59
800;113.8512295;1;57
805;113.3738203;1;54
810;113.6241523;1;56
815;113.5874146;1;56
820;113.9638215;1;60
825;114.8299335;1;61
830;115.0655405;1;63
835;114.7557375;1;55
840;114.9028082;1;53
845;114.7131305;1;50
850;114.3645035;1;52
855;115.2237014;1;55
860;115.3829084;1;54
865;115.3384131;1;53
870;114.9792671;1;42
875;115.1547127;1;44
880;115.1653813;1;45
885;115.1708645;1;56
890;115.2385616;1;50
895;115.5501122;1;59
900;114.979535;1;53
905;114.5379629;1;55
910;114.2999267;1;52
915;113.9043613;1;49
920;114.2267087;1;51
925;113.7677752;1;56
930;113.331194;1;54
935;112.8554607;1;52
940;112.7620763;1;55
945;113.5248896;1;57
950;113.1187157;1;53
955;113.6927717;1;57
960;113.6098394;1;59
965;113.6167632;1;52
970;113.2119367;1;48
975;112.9164919;1;48
980;112.9970703;1;52
985;112.7698789;1;54
990;113.1994328;1;56
995;112.6320491;1;48
1000;113.2394982;1;52
1050;114.4680276;1;48
1100;115.16073;1;43
1150;114.1503072;0;33
1200;114.0946081;0;40
1250;112.7750844;0;37
1300;112.7369772;0;35
1350;110.3140064;0;32
1400;107.767809;0;27
1450;106.0086159;0;26
1500;103.0891232;0;20
1550;106.9006188;0;25
1600;106.9813908;1;27
1650;106.2487937;1;26
1700;105.9499517;0;19
1750;104.797924;0;22
