trace_nb;correct_bytes;log2(key_rank)
10;4;50.1016103
30;3;54.0770151
50;3;46.42033187
70;1;67.86835661
90;2;54.44206608
110;1;51.05710951
130;1;45.31769187
150;0;41.45493041
170;1;38.40818495
190;1;37.61652628
210;1;36.63689485
230;1;35.50093718
250;2;34.36837552
270;2;33.65450277
290;3;33.35599308
310;2;32.81739111
330;2;33.04713957
350;1;32.91715701
370;2;32.58356331
390;2;32.27749909
410;1;32.36130133
430;1;31.97438344
450;2;31.90078886
470;1;31.97457693
490;1;31.90911236
510;1;31.81627221
530;1;32.00251637
550;1;31.89359595
570;1;31.85126537
590;1;31.8777343
610;1;31.70796148
630;1;31.7910114
650;1;31.79615674
670;1;31.80881534
690;1;31.89222136
710;1;31.848253
730;1;31.80882997
750;1;31.78389715
770;1;31.78864964
790;1;31.86516543
810;1;31.76266664
830;2;31.56842179
850;1;31.73998332
870;1;31.53983656
890;1;31.83113826
910;1;31.75235077
930;1;31.7574158
950;1;31.65425295
970;1;31.72445719
990;2;31.80002923
1000;2;31.74284415
1050;2;31.60783097
1100;1;31.94661023
1150;1;31.85859616
1200;1;31.81526536
1250;1;31.92053171
1300;1;31.71708453
1350;1;31.95809639
1400;2;31.97273451
1450;2;31.97623252
1500;2;31.9379282
1550;2;31.95976308
1600;2;31.93826628
1650;2;31.97087481
1700;2;31.94732386
1750;3;31.77831755
1800;3;31.88078079
1850;3;31.8424833
1900;1;31.6065644
1950;1;31.54949227
