trace_nb;correct_bytes;log2(key_rank)
10;0;111.1294644
30;1;122.6918217
50;0;120.7439721
70;0;121.9847628
90;0;119.5801551
110;0;115.3757793
130;0;109.7908525
150;0;104.6171529
170;1;101.0899472
190;1;98.85769907
210;1;96.65886903
230;0;93.63711136
250;1;90.23914011
270;0;87.52461247
290;0;83.11050417
310;0;81.15198062
330;1;78.40192801
350;0;76.17392713
370;1;73.06571227
390;1;71.8450729
410;1;70.0130651
430;1;68.888444
450;1;67.3048576
470;1;65.6410705
490;2;64.18177361
510;2;61.62411406
530;1;59.78750812
550;1;58.47451855
570;1;58.25471844
590;1;56.74446236
610;2;54.16397032
630;2;52.83041312
650;2;51.83597147
670;2;51.13784049
690;2;50.61135604
710;2;50.24628831
730;2;49.2126956
750;2;48.78132415
770;2;48.00459455
790;2;48.49484616
810;2;48.06242914
830;2;47.1663856
850;2;45.71873931
870;2;44.41531673
890;2;44.19090749
910;2;43.60426378
930;2;43.31131448
950;2;42.69384951
970;2;42.17902027
990;2;41.7923238
1000;2;42.36969404
1050;2;41.73522351
1100;2;41.97122729
1150;2;40.85982432
1200;2;40.33240549
1250;2;40.47367264
1300;2;39.74748951
1350;2;39.18655784
1400;2;39.36174414
1450;2;39.78862564
1500;2;40.47144828
1550;2;39.65877524
1600;2;39.23204073
1650;2;38.4808232
1700;2;38.2724562
1750;2;38.52074137
1800;2;37.91718684
1850;1;37.61151649
1900;2;37.39579505
1950;1;36.85823747
