trace_nb;correct_bytes;log2(key_rank)
10;4;60.23775249
30;1;61.11765124
50;1;53.71801773
70;0;77.7614887
90;1;62.57755777
110;1;55.67675447
130;1;48.36108597
150;2;44.3253324
170;2;41.35777552
190;3;40.48478446
210;2;39.60836521
230;1;38.72585297
250;1;36.79960311
270;1;36.32749659
290;1;35.32526362
310;1;34.34940226
330;1;34.17709272
350;1;34.25660561
370;1;33.57160062
390;1;33.4752695
410;1;33.2099206
430;1;32.80037215
450;1;32.447216
470;1;32.36302858
490;1;32.36131879
510;1;32.58098261
530;1;32.25680168
550;1;32.16454037
570;1;32.00197023
590;2;32.04549452
610;1;31.9093543
630;1;31.83859903
650;1;31.93974507
670;2;31.86804289
690;2;31.94028135
710;1;31.91794632
730;1;31.9311122
750;1;31.91415327
770;2;31.85075686
790;2;31.81558
810;2;31.89376861
830;2;31.77907054
850;2;31.82785804
870;2;31.86707844
890;2;31.82194749
910;3;31.82562404
930;3;31.71190882
950;3;31.73181538
970;2;31.7480774
990;2;31.589646
1000;2;31.75624644
1050;2;31.81795405
1100;2;31.76422108
1150;3;31.71477411
1200;3;31.70113294
1250;3;31.83096929
1300;3;31.63515991
1350;2;31.85183889
1400;2;31.75395859
1450;2;31.86310626
1500;3;31.71805844
1550;3;31.93868194
1600;3;31.72646218
1650;2;31.71383765
1700;3;31.78120891
1750;3;31.72264994
1800;3;31.52622035
1850;3;31.5634368
1900;3;31.19789127
1950;2;31.52564178
