trace_nb;correct_bytes;log2(key_rank)
10;0;125.1196706
20;0;126.1414481
30;0;124.8437647
40;0;121.70245
50;0;119.0893595
60;0;115.9664971
70;0;112.6700076
80;0;111.0507971
90;0;112.7876731
100;0;111.1804708
110;0;110.3905761
120;0;112.8931849
130;0;113.9999488
140;0;110.6644405
150;2;109.2196204
160;2;108.0066856
170;1;106.9820926
180;1;108.0389541
190;1;107.0719583
200;1;103.0877218
210;2;100.0953184
220;2;95.10846197
230;1;95.50394024
240;1;94.02746301
250;0;91.81358547
260;0;90.10985431
270;3;88.97887484
280;3;90.90491454
290;3;93.51828642
300;2;91.93543098
310;2;90.2832553
320;2;90.65623492
330;3;88.57218988
340;5;90.09102908
350;2;87.57321313
360;2;87.19592061
370;2;88.03560448
380;3;88.93333445
390;2;87.89862451
400;3;88.6115446
410;3;86.03816691
420;1;83.7149687
430;2;81.90634104
440;1;81.74200033
450;3;79.3458007
460;2;80.55802743
470;3;79.55693337
480;2;77.99675908
490;2;77.73674949
500;2;75.4299452
530;3;76.02340093
560;2;75.41848847
590;5;73.28485879
620;5;68.96777349
650;3;69.72070943
680;2;68.4267984
710;4;67.95422569
740;3;67.43057503
770;4;66.67534323
800;5;66.85206226
830;5;65.41890988
860;3;63.20781644
890;3;64.81326522
920;2;63.98126748
950;2;61.59338308
980;3;60.0983685
1000;3;58.90202172
1060;4;55.12393281
1120;4;55.21297429
1180;4;55.27530252
1240;3;53.81255945
1300;3;51.28821851
1360;4;48.17948383
1420;3;48.31861353
1480;2;49.17156164
1540;3;48.24600314
1600;2;49.58699338
1660;2;49.50248049
1720;2;50.23534214
1780;3;48.91797874
1840;2;47.59287903
1900;2;46.37904753
1960;3;46.31769478
2000;4;46.02856906
2200;1;43.68469201
2400;1;43.96061486
2600;2;41.02087677
2800;3;39.3721834
3000;3;38.78581857
3200;4;40.00752716
3400;4;37.86768464
3600;4;35.99130839
3800;5;34.71919091
4000;6;32.91020494
4200;5;34.50745377
4400;3;35.11500022
4600;4;35.69097962
4800;4;35.44253555
5000;4;33.02697933
5200;3;33.96374725
5400;4;33.48739823
5600;5;33.32318349
5800;4;32.90227557
6000;5;32.02422371
6200;5;31.29895001
6400;5;31.48377262
6600;6;31.34170196
6800;3;32.00011618
7000;5;32.49877236
7200;3;32.50255878
7400;3;32.13778417
7600;4;32.00283195
7800;5;31.93367291
8000;5;32.14748957
8200;4;31.82323013
8400;4;32.21231947
8600;4;31.95889802
8800;4;32.04801253
9000;4;32.1175301
9200;4;31.91561608
9400;4;31.92133241
9600;4;31.81873614
9800;4;31.8878823
