trace_nb;correct_bytes;log2(key_rank)
10;0;127.4242468
20;0;127.0345444
30;0;127.5424945
40;0;126.9324923
50;0;127.4277178
60;0;127.6235191
70;0;127.8473627
80;0;127.8467495
90;0;127.4487339
100;0;127.369438
110;0;127.3453854
120;0;126.9369142
130;0;126.2833664
140;0;125.8222176
150;0;125.5447312
160;0;124.8544991
170;0;123.4084182
180;0;123.2903089
190;0;122.5115956
200;0;122.955881
210;0;122.2274632
220;0;123.1215625
230;0;123.3477942
240;0;122.9228888
250;0;122.7605927
260;0;122.1464031
270;0;121.7979477
280;0;120.4319365
290;0;120.3369388
300;0;121.2427573
310;0;121.7700262
320;0;122.2446362
330;0;121.374829
340;0;120.4232662
350;0;118.3029727
360;0;118.0983157
370;0;115.4650375
380;0;114.9183251
390;0;115.8494567
400;0;115.6545498
410;0;115.2570057
420;0;116.1698074
430;0;117.0859599
440;0;115.9569436
450;0;115.0771375
460;0;115.2192824
470;0;115.5891001
480;0;115.159282
490;0;114.2919992
500;0;114.6917596
530;0;116.1334665
560;0;116.5602357
590;0;115.6919179
620;0;116.9816573
650;0;117.0715462
680;0;116.8997695
710;0;114.95861
740;0;114.589675
770;0;114.8661641
800;0;116.2110015
830;0;114.6880492
860;0;115.9014598
890;0;113.8002267
920;0;113.2167955
950;0;114.0723242
980;0;114.6578455
1000;0;115.3290437
1060;0;116.9367625
1120;0;115.723965
1180;0;115.4575626
1240;0;114.2082755
1300;0;112.0582673
1360;0;111.9253095
1420;0;112.631719
1480;0;112.4699203
1540;0;111.8346627
1600;0;111.1729389
1660;0;112.638052
1720;0;112.5256376
1780;0;110.9551865
1840;0;110.6367494
1900;0;110.6478827
1960;0;109.6286979
2000;0;109.0639237
2200;0;107.2397856
2400;0;109.2091049
2600;0;112.8702341
2800;0;110.8274677
3000;0;108.8230404
3200;0;110.2778154
3400;0;108.7935613
3600;1;108.4386476
3800;1;109.1907184
4000;1;109.1888346
4200;1;108.7050814
4400;1;107.0360659
4600;1;104.6574187
4800;1;102.2201559
5000;1;100.002578
5200;1;98.38136015
5400;2;97.90689732
5600;1;95.57899698
5800;1;96.47886591
6000;0;93.91868692
6200;1;93.53842476
6400;1;92.98231682
6600;1;92.81721285
6800;1;91.01506399
7000;0;90.49292484
7200;0;91.03730644
7400;0;92.62824915
7600;0;95.63036179
7800;0;96.49642453
8000;0;95.94661198
8200;0;96.81604809
8400;0;96.80439959
8600;0;95.15023327
8800;0;95.60501047
9000;0;95.24439363
9200;0;94.73122174
9400;0;92.81737468
9600;0;90.86072916
9800;1;90.27571052
