trace_nb;correct_bytes;log2(key_rank)
10;0;125.573017
20;0;126.357526
30;0;124.7986041
40;1;121.9190118
50;0;117.7523256
60;0;115.1773531
70;0;112.075487
80;0;109.8279239
90;0;111.2863271
100;0;109.4516655
110;0;109.4030077
120;0;112.8650093
130;0;113.1469594
140;0;110.2820799
150;1;108.3066607
160;1;107.0520465
170;1;105.5702464
180;1;106.5716735
190;1;105.7825746
200;1;101.8744458
210;1;98.5868213
220;1;92.98705563
230;0;93.29115177
240;1;92.17872224
250;1;89.76355597
260;1;88.32567869
270;2;85.42459596
280;1;86.56023376
290;1;89.38873766
300;1;88.22236169
310;0;86.9014207
320;0;87.44764293
330;0;90.88886293
340;0;92.38559372
350;0;89.72381083
360;0;90.276993
370;2;88.70030118
380;2;89.64377057
390;3;88.17602407
400;2;89.15752884
410;2;87.24450511
420;2;85.96898619
430;2;83.99689296
440;2;82.69004489
450;1;80.56917603
460;5;82.06480701
470;4;80.06904987
480;4;78.66032794
490;3;77.99834488
500;4;76.65440749
530;4;77.58746324
560;3;76.57246076
590;2;74.02281037
620;3;69.00422328
650;2;70.03057559
680;2;69.71238128
710;1;69.80470253
740;2;68.69479216
770;5;67.65521806
800;4;67.68831025
830;3;65.75298992
860;4;63.48731448
890;3;65.30018967
920;2;62.58213378
950;1;60.00356598
980;2;58.34713653
1000;4;57.28170599
1060;6;53.92724736
1120;5;52.73135653
1180;6;50.87830604
1240;3;49.64997845
1300;5;46.84279112
1360;4;44.393067
1420;4;43.7863881
1480;4;43.91937875
1540;4;43.5968344
1600;5;44.63070996
1660;3;43.71491228
1720;3;43.68051093
1780;3;42.71574442
1840;3;42.01985171
1900;4;40.58303136
1960;3;39.7130929
2000;4;39.69000351
2200;4;38.37334395
2400;3;39.08798623
2600;3;36.11032988
2800;4;34.39625797
3000;3;34.58080161
3200;3;34.42456853
3400;3;33.94416255
3600;4;32.2064071
3800;5;32.28150985
4000;5;30.8065821
4200;4;32.01935922
4400;3;32.56979707
4600;3;32.87476923
4800;3;31.98509818
5000;4;30.04978901
5200;4;30.61392816
5400;2;32.28979975
5600;4;30.68758604
5800;3;30.02476509
6000;3;29.30782852
6200;5;30.07315398
6400;5;29.43158364
6600;4;30.35567505
6800;4;30.43294377
7000;4;30.98265138
7200;5;30.50544209
7400;5;30.14002984
7600;5;30.62395632
7800;6;30.78934704
8000;5;31.3098926
8200;4;31.4667946
8400;4;30.7172753
8600;6;30.90019922
8800;6;31.24030145
9000;4;31.25944855
9200;5;30.98846945
9400;5;30.68261741
9600;5;31.35551319
9800;4;31.55150376
