trace_nb;correct_bytes;log2(key_rank)
10;0;127.5360456
20;0;126.7504452
30;0;127.4368169
40;0;127.0097964
50;0;127.4516011
60;0;127.6582766
70;0;127.750181
80;0;127.7838787
90;0;127.4040217
100;0;127.3326475
110;0;127.2345606
120;0;126.4972078
130;0;125.6611368
140;0;125.7748647
150;0;125.2125498
160;0;124.423779
170;0;123.7443127
180;0;123.4332774
190;0;122.4629838
200;0;123.3726226
210;0;122.5721323
220;0;123.0899184
230;0;123.7436862
240;0;122.934988
250;0;123.4499575
260;0;122.703169
270;0;121.8245366
280;0;120.3255952
290;0;120.4231957
300;0;121.6859697
310;0;121.4534898
320;0;122.3029494
330;0;121.1875001
340;0;120.3703242
350;0;118.9657323
360;0;118.1933224
370;0;116.2499612
380;0;115.8588535
390;0;116.8148318
400;0;116.5852148
410;0;115.4333788
420;0;116.845065
430;0;117.8811437
440;0;116.847752
450;0;116.2793535
460;0;116.6950659
470;1;116.9830909
480;1;116.8543042
490;1;115.3070737
500;1;115.5148769
530;1;115.8298075
560;1;116.7538219
590;0;116.7099676
620;0;118.6642137
650;0;119.1053653
680;0;119.0941181
710;0;118.178221
740;0;118.2237991
770;0;118.1015391
800;0;118.7961415
830;0;118.1014475
860;0;118.2463044
890;0;117.0609924
920;0;117.2511673
950;0;118.5778043
980;0;118.9782667
1000;0;119.642402
1060;0;119.9992438
1120;0;118.7434745
1180;0;118.4003309
1240;0;117.2327855
1300;0;116.2638647
1360;0;115.6076182
1420;0;115.2394494
1480;0;114.8163879
1540;0;115.1724534
1600;0;115.1708119
1660;0;116.3773881
1720;0;116.8894535
1780;0;115.1838429
1840;0;114.7028282
1900;0;114.201354
1960;0;113.3009795
2000;0;113.1315122
2200;1;113.0024429
2400;0;114.6132073
2600;0;116.0940885
2800;1;114.4532718
3000;0;113.3017858
3200;0;115.164091
3400;0;114.9221339
3600;0;114.8481044
3800;0;115.5087779
4000;0;114.6736309
4200;0;114.4925768
4400;0;113.841453
4600;0;112.6852815
4800;0;111.1788395
5000;0;109.750508
5200;1;109.2707158
5400;0;109.6594302
5600;1;107.4765711
5800;1;107.2372413
6000;1;106.0831461
6200;0;105.4892537
6400;0;104.607113
6600;0;104.4009301
6800;0;103.2894045
7000;0;101.8838935
7200;0;101.7591238
7400;0;102.1708916
7600;2;105.0756166
7800;0;105.2816207
8000;0;103.8918645
8200;0;106.3543382
8400;0;106.044007
8600;0;105.789196
8800;0;104.9717719
9000;0;104.244386
9200;0;103.9569554
9400;0;103.0001709
9600;0;101.4006828
9800;0;101.4019429
