trace_nb;log2(key_rank);correct_bytes
10;120.7105016;0
15;110.6175787;1
20;102.3828371;0
25;94.25628911;0
30;90.92234963;0
35;90.95974004;0
40;92.66059589;0
45;92.20510165;0
50;89.84521276;0
55;88.81276671;0
60;87.03367106;0
65;84.93043163;1
70;83.62670816;1
75;79.93906471;1
80;77.82257602;1
85;77.86269676;1
90;77.55405703;1
95;76.75970711;0
100;76.37066869;2
105;75.36577849;1
110;76.8518221;2
115;76.79717519;2
120;76.89950018;1
125;79.67226463;0
130;79.31369573;0
135;78.4518394;0
140;78.26969737;1
145;75.99008622;2
150;75.69475302;1
155;75.87244998;1
160;75.99632723;3
165;75.85990704;2
170;75.71810101;2
175;74.3325624;1
180;74.33085867;1
185;73.91740187;2
190;73.36683686;2
195;72.97212976;2
200;72.35239381;2
205;72.66497568;2
210;73.45114944;2
215;73.49545467;2
220;73.26205457;2
225;72.91617183;1
230;72.77339369;1
235;73.05487441;1
240;72.67969459;2
245;72.97582408;2
250;72.39977072;2
255;71.80906642;2
260;71.51887073;2
265;72.09321611;2
270;70.91821268;2
275;70.91744184;1
280;72.27667283;0
285;71.83730091;1
290;72.24602168;1
295;71.72575084;1
300;71.4803595;0
305;71.25759085;0
310;70.18984354;0
315;70.45157872;0
320;70.34496467;0
325;69.61062896;0
330;70.24612301;0
335;70.1976172;0
340;69.38038294;0
345;68.42618515;0
350;68.36723438;0
355;67.9488998;0
360;67.77837175;0
365;68.43779912;0
370;68.7372654;0
375;69.24347565;0
380;69.39822634;0
385;68.90193282;0
390;69.22446642;0
395;69.65920519;0
400;69.53053776;0
405;69.23529001;0
410;68.79176909;0
415;68.43714017;0
420;68.61562199;0
425;68.17719228;0
430;68.04177787;1
435;68.04598855;0
440;68.66077792;0
445;68.03609434;0
450;68.09159168;0
455;68.01670311;0
460;67.78053692;0
465;68.27459932;0
470;67.77901208;0
475;68.52034679;0
480;68.43295812;0
485;68.3952598;0
490;68.57698133;0
495;68.11323573;0
500;68.42664882;0
550;67.66986747;0
600;67.59965971;0
650;66.40453411;0
700;66.08671949;0
750;65.26892662;0
800;65.74035443;0
850;66.34892251;0
900;66.01123815;0
950;66.19814409;0
1000;65.83325281;0
1500;63.71153525;0
2000;63.4938502;1
2500;63.86938178;3
3000;63.73464066;4
3500;62.11979415;4
4000;63.89938742;2
4500;63.08871553;3
5000;62.55187469;2
5500;63.25173372;0
6000;62.75210766;1
6500;61.75387221;0
7000;62.30772151;0
7500;62.95709452;1
8000;63.0115779;2
8500;63.28709218;2
9000;63.02532117;2
9500;62.77459955;1
10000;60.96278276;2
12500;62.32837662;1
15000;62.06106848;3
17500;61.90185729;3
20000;62.07299;0
22500;61.99928289;0
25000;62.67997887;1
27500;62.3353925;1
30000;63.19929713;2
32500;63.84752641;1
35000;63.40454266;1
37500;62.72704862;1
