trace_nb;log2(key_rank);correct_bytes
10;112.6832506;1
15;99.69848762;1
20;97.50892024;2
25;100.0852885;1
30;98.1934535;0
35;95.44611102;0
40;95.87037706;0
45;95.13113971;0
50;92.64398404;1
55;91.7324131;1
60;88.78118287;1
65;89.83448639;0
70;88.94979651;0
75;86.23643913;1
80;86.24357766;1
85;86.74483042;1
90;87.26931479;1
95;85.85776486;1
100;87.104551;1
105;86.79795399;1
110;87.4030148;1
115;88.11479342;1
120;87.29462783;1
125;88.16173315;1
130;87.97221323;1
135;87.97333181;1
140;87.84039961;1
145;87.77385378;0
150;86.14777307;0
155;86.92399019;0
160;86.66952167;0
165;86.85906481;0
170;87.04568592;0
175;87.76335136;0
180;88.54287494;0
185;88.1279715;0
190;87.14996859;0
195;85.73453274;1
200;85.40252878;1
205;84.65469335;1
210;84.40920882;1
215;84.21840765;1
220;82.98909964;1
225;83.29614381;1
230;82.01804708;1
235;81.86662129;1
240;81.81337912;1
245;82.41889983;1
250;82.30554902;1
255;82.21526949;1
260;81.23572156;2
265;81.48878267;1
270;79.92996603;2
275;80.32209031;2
280;81.96275417;1
285;82.24687947;0
290;82.56652414;0
295;82.9708681;0
300;83.49325944;0
305;83.95944212;0
310;83.42857673;0
315;83.32919845;0
320;83.66543033;0
325;83.51776306;0
330;84.19031868;0
335;84.48690099;0
340;84.08033528;0
345;84.14209425;0
350;83.94495707;0
355;83.95155914;0
360;83.89456198;0
365;83.83820989;0
370;85.1131913;0
375;85.19461697;0
380;84.718343;0
385;84.02127161;0
390;84.67723757;0
395;84.4120799;0
400;84.39644067;0
405;84.03958685;0
410;83.54979644;0
415;83.23802215;0
420;82.42328287;0
425;82.05162223;0
430;82.28271619;0
435;82.24219719;0
440;82.94613459;0
445;82.15106496;0
450;82.28244378;0
455;82.231718;0
460;81.88920779;0
465;82.17078087;0
470;81.76372401;0
475;82.36536919;0
480;82.63694604;0
485;82.82731908;0
490;82.93759032;0
495;82.33540743;0
500;82.38619651;0
550;80.65146017;0
600;79.45626371;0
650;77.18745015;1
700;75.25521784;1
750;74.5684406;1
800;73.7844285;1
850;72.78253186;1
900;72.7867579;1
950;73.47928696;1
1000;73.04793896;1
1500;68.63365711;2
2000;70.26532475;1
2500;69.87006066;1
3000;68.5480716;1
3500;66.57202864;2
4000;67.02026978;2
4500;67.12738174;2
5000;66.49325833;1
5500;66.19695611;1
6000;65.94845811;1
6500;66.12883115;1
7000;65.27232827;1
7500;64.10488114;1
8000;63.75882709;1
8500;64.46426067;2
9000;63.33590168;2
9500;62.6661413;3
10000;62.96639951;2
12500;63.13816759;3
15000;63.00221099;1
17500;62.49468561;1
20000;62.06726135;2
22500;61.49384616;3
25000;60.41095425;2
27500;60.02645099;2
30000;59.97826722;2
32500;60.12876599;2
35000;59.52775184;2
37500;59.30074736;3
