trace_nb;log2(key_rank);correct_bytes;pge_median
10;107.7304297;1;21
135;78.69874272;1;6
260;78.83258533;0;10
385;79.68833274;0;11
510;78.0949915;0;9
635;78.88012286;0;8
760;77.2079665;0;13
885;74.23902547;0;11
1000;73.39596344;0;10
1250;72.0180431;2;10
1500;70.09815472;0;8
1750;69.51197071;1;8
2000;69.27915746;0;9
2250;68.7287491;0;9
2500;67.85895084;1;9
2750;66.59461431;0;7
3000;65.68054607;0;11
3250;64.93994433;1;10
3500;65.14722239;0;8
3750;65.35353907;1;8
4000;65.47990056;1;7
4250;65.11449854;0;8
4500;65.94220919;0;8
4750;66.6521685;0;7
5000;66.41011948;0;7
5250;65.8815794;0;9
5500;66.64440665;0;10
5750;66.17480292;0;10
6000;66.32010364;0;10
6250;66.32325093;0;9
6500;65.80358434;0;10
6750;65.368055;1;9
7000;65.0428062;1;8
7250;64.96186625;1;9
7500;65.55317211;1;9
7750;65.86576509;0;11
8000;65.25544529;1;11
8250;66.05505732;1;12
8500;65.6316187;0;11
8750;66.69199468;0;12
9000;66.6538871;0;12
9250;65.84721851;0;12
9500;66.51843101;0;11
9750;66.56791842;0;11
10000;66.20385978;0;10
10500;65.53695776;0;10
11000;65.64867336;1;10
11500;65.81461127;1;10
12000;65.13710293;1;10
12500;64.74872698;0;8
13000;65.1634961;0;10
13500;64.83411524;0;9
14000;64.52448233;0;8
14500;64.92767883;0;8
15000;64.86576415;1;9
15500;64.42479559;1;9
16000;64.90684659;0;8
16500;64.1861362;0;9
17000;64.53193692;0;10
17500;64.34259445;0;9
18000;64.24730578;0;8
18500;63.83012986;0;7
19000;63.49644704;0;7
19500;63.2990716;0;6
20000;63.28936765;0;6
