trace_nb;log2(key_rank);correct_bytes;pge_median
10;99.23175669;0;15
135;73.98111499;1;7
260;76.10298858;1;9
385;72.17737446;1;10
510;68.23083627;1;7
635;67.22799852;2;6
760;66.92557024;1;8
885;67.24715914;0;7
1000;67.17005755;1;6
1250;63.54433141;1;7
1500;62.59785046;1;8
1750;60.85883406;1;6
2000;61.60090795;1;6
2250;60.3398133;0;5
2500;59.51489026;0;4
2750;60.35571474;2;3
3000;60.05042036;1;3
3250;60.57859362;2;4
3500;60.97387227;3;4
3750;61.88589695;1;4
4000;62.3840803;0;5
4250;63.22937341;0;5
4500;62.71820477;1;5
4750;63.46648297;1;5
5000;62.4157901;1;6
5250;62.40944446;3;6
5500;62.62553211;3;7
5750;63.21203457;1;5
6000;63.1131194;0;5
6250;63.65934741;0;7
6500;63.6791328;0;6
6750;63.39356239;0;6
7000;63.18824756;0;6
7250;63.70663726;0;7
7500;63.28104806;1;7
7750;63.56214488;1;8
8000;63.75385917;1;8
8250;64.24744855;0;8
8500;63.98657002;0;8
8750;64.03532087;2;7
9000;63.29173985;2;7
9250;63.31343901;1;6
9500;63.13022353;1;6
9750;64.18340328;0;6
10000;63.72496339;0;6
10500;63.93318327;1;7
11000;64.17690348;0;6
11500;63.11107042;0;6
12000;63.59013956;2;8
12500;63.6505571;2;8
13000;64.17249911;0;9
13500;63.85320675;0;8
14000;64.06072837;0;8
14500;63.75471585;1;7
15000;64.42155075;0;10
15500;64.06753336;0;8
16000;63.96553604;0;7
16500;63.86061533;1;7
17000;64.13642421;0;9
17500;63.87799446;2;9
18000;63.54969072;3;8
18500;63.56976387;2;8
19000;63.1651825;2;7
19500;62.10772056;1;6
20000;63.45008817;0;6
