trace_nb;log2(key_rank);correct_bytes;pge_median
10;111.3036593;0;31
135;77.69876005;0;7
260;76.73955341;0;8
385;68.38229359;2;6
510;65.29112064;2;4
635;65.92734584;2;4
760;67.30804824;2;7
885;63.64112898;3;6
1000;66.79065976;2;7
1250;66.66403204;1;6
1500;65.33609449;1;5
1750;65.28975803;1;6
2000;64.81022957;1;5
2250;63.14711153;1;4
2500;63.37112854;1;5
2750;63.07132248;1;5
3000;62.03736798;2;5
3250;60.91614545;3;4
3500;62.66110725;2;6
3750;63.00175281;2;8
4000;63.12970733;1;7
4250;63.34499897;1;6
4500;63.20872648;1;7
4750;62.81052162;2;6
5000;61.68319144;2;7
5250;61.87912517;2;7
5500;62.85614251;2;7
5750;63.58696101;2;6
6000;63.41041562;2;6
6250;64.11098303;2;7
6500;64.0763356;1;7
6750;65.40260259;1;7
7000;64.78804129;1;7
7250;64.36461165;1;7
7500;65.41757982;1;7
7750;65.64695593;0;7
8000;65.94147235;1;7
8250;66.61472836;1;8
8500;65.91520929;1;7
8750;65.87512723;1;8
9000;65.64746817;1;8
9250;65.97700801;1;8
9500;65.57478324;1;8
9750;65.4978785;1;8
10000;64.96246171;1;7
10500;64.87664904;0;7
11000;65.05905604;1;8
11500;64.97303548;0;10
12000;65.0031398;0;9
12500;64.74780891;1;10
13000;65.66602994;0;9
13500;65.65959799;1;9
14000;65.53972586;0;7
14500;65.46827367;0;9
15000;65.55257782;0;10
15500;65.68045656;1;10
16000;65.59948124;2;10
16500;64.9142053;2;9
17000;64.84469472;2;9
17500;64.23714102;1;8
18000;63.62656497;1;7
18500;63.04162874;1;7
19000;63.34961749;2;7
