trace_nb;log2(key_rank);correct_bytes;pge_median
10;96.3581133;0;18
135;74.83087029;0;10
260;70.03463105;1;9
385;68.62068002;0;8
510;65.39426692;0;7
635;64.81316457;1;7
760;64.85690639;0;8
885;64.65477408;0;8
1000;64.11012898;1;5
1250;64.70865107;0;9
1500;63.61756067;1;10
1750;62.34864989;0;7
2000;62.88070791;0;7
2250;62.97761557;0;6
2500;63.06848344;0;4
2750;62.27950104;2;4
3000;60.38248224;1;4
3250;60.94366467;2;4
3500;60.97433259;3;4
3750;62.17858193;1;4
4000;61.72049035;0;4
4250;62.31133626;0;4
4500;62.55378876;1;4
4750;62.72985158;1;4
5000;61.95261335;1;4
5250;62.4562906;2;4
5500;63.03450674;2;5
5750;63.39604876;1;5
6000;62.84107704;0;5
6250;62.56618123;0;4
6500;62.13491712;0;3
6750;61.68919453;0;3
7000;61.26739334;0;4
7250;62.09176138;0;4
7500;61.68839337;1;5
7750;62.44403997;1;5
8000;62.38559674;1;5
8250;62.67928843;0;7
8500;62.48617748;0;5
8750;62.69907224;2;5
9000;62.35050202;2;5
9250;62.72445882;1;5
9500;62.54630375;1;5
9750;63.13170057;0;6
10000;62.91589847;0;6
10500;63.00916165;1;6
11000;62.79532375;0;6
11500;62.06578448;0;6
12000;61.36863208;2;8
12500;62.14422526;2;6
13000;62.73198682;0;8
13500;63.0506008;0;7
14000;62.89520206;0;7
14500;62.84380379;0;6
15000;62.80258767;0;6
15500;63.29613805;0;5
16000;62.41121224;0;5
16500;62.9455274;1;6
17000;62.50408721;0;7
17500;62.85483577;1;7
18000;62.04089554;1;7
18500;62.72115679;0;7
19000;61.88843812;0;7
19500;59.66449683;0;5
20000;59.63840606;0;5
