trace_nb;log2(key_rank);correct_bytes;pge_median
10;109.3793002;0;37
135;84.41274782;0;10
260;83.28987906;0;12
385;83.34679457;0;11
510;80.69354932;0;9
635;76.19379218;1;8
760;75.19654639;0;9
885;75.07377344;0;9
1000;74.50072194;1;8
1250;75.42127781;1;7
1500;73.54309689;2;8
1750;70.08788322;1;7
2000;70.57372765;0;9
2250;67.51116807;1;6
2500;64.24626869;2;6
2750;64.04122931;0;4
3000;65.46085048;0;6
3250;65.61337645;1;6
3500;65.82506616;2;4
3750;66.47389071;2;7
4000;68.43274001;0;8
4250;68.98585911;1;9
4500;68.84229574;1;8
4750;68.81464999;1;8
5000;68.89450655;2;9
5250;68.81223324;2;10
5500;68.77213317;1;9
5750;69.43720291;1;7
6000;68.6834001;0;9
6250;68.80841755;1;9
6500;68.31174971;2;9
6750;68.8586571;2;10
7000;68.7336571;2;11
7250;68.28770694;1;10
7500;68.76748251;0;9
7750;69.00295907;1;10
8000;69.17637584;1;10
8250;68.83340602;1;9
8500;69.1909718;1;8
8750;68.41455019;0;8
9000;67.86589857;0;8
9250;68.02285917;0;8
9500;67.89732357;1;8
9750;68.47454868;0;8
10000;68.67393133;1;9
10500;68.8422773;0;8
11000;67.96589953;0;9
11500;67.7668332;0;8
12000;66.81499115;0;8
12500;67.16550425;0;9
13000;67.74110032;0;9
13500;67.09504696;0;9
14000;67.39021277;0;9
14500;66.60731714;0;9
15000;67.10780876;0;8
15500;66.76206124;1;8
16000;66.45016683;0;7
16500;66.82374836;2;8
17000;67.34448221;1;9
17500;66.80896549;1;8
18000;65.97815553;1;7
18500;65.78080665;0;8
19000;65.51884143;0;8
19500;65.51440698;0;7
20000;65.92117758;0;7
